ID,JNODE,INODE,KNODE,TPF,DATA1,DATA2,DATA3
10146-10150-10145,10150,10146,10145,0,0.0,0.0,0.0
10146-10150-10151,10150,10146,10151,-1,0.0,0.0,0.0
10151-10150-10145,10150,10151,10145,-1,0.0,0.0,0.0
10151-10150-10151,10150,10151,10151,0,0.0,0.0,0.0
10483-10170-10480,10170,10483,10480,0,0.0,0.0,0.0
10483-10170-10510,10170,10483,10510,-1,0.0,0.0,0.0
10510-10170-10480,10170,10510,10480,-1,0.0,0.0,0.0
10510-10170-10510,10170,10510,10510,0,0.0,0.0,0.0
10268-10270-10266,10270,10268,10266,0,0.0,0.0,0.0
10268-10270-10271,10270,10268,10271,-1,0.0,0.0,0.0
10271-10270-10266,10270,10271,10266,-1,0.0,0.0,0.0
10271-10270-10271,10270,10271,10271,0,0.0,0.0,0.0
10289-10291-10289,10291,10289,10289,0,0.0,0.0,0.0
10289-10291-10292,10291,10289,10292,-1,0.0,0.0,0.0
10289-10291-10293,10291,10289,10293,-1,0.0,0.0,0.0
10293-10291-10289,10291,10293,10289,-1,0.0,0.0,0.0
10293-10291-10292,10291,10293,10292,0,0.0,0.0,0.0
10293-10291-10293,10291,10293,10293,0,0.0,0.0,0.0
10291-10293-10291,10293,10291,10291,0,0.0,0.0,0.0
10291-10293-10292,10293,10291,10292,0,0.0,0.0,0.0
10291-10293-10494,10293,10291,10494,-1,0.0,0.0,0.0
10494-10293-10291,10293,10494,10291,-1,0.0,0.0,0.0
10494-10293-10292,10293,10494,10292,-1,0.0,0.0,0.0
10494-10293-10494,10293,10494,10494,0,0.0,0.0,0.0
10413-10412-10414,10412,10413,10414,0,0.0,0.0,0.0
10413-10412-82197,10412,10413,82197,-1,0.0,0.0,0.0
82197-10412-10414,10412,82197,10414,-1,0.0,0.0,0.0
82197-10412-82197,10412,82197,82197,0,0.0,0.0,0.0
82011-10415-82171,10415,82011,82171,-1,0.0,0.0,0.0
82011-10415-82199,10415,82011,82199,0,0.0,0.0,0.0
82171-10415-82171,10415,82171,82171,0,0.0,0.0,0.0
82171-10415-82199,10415,82171,82199,-1,0.0,0.0,0.0
83020-10432-10431,10432,83020,10431,0,0.0,0.0,0.0
83020-10432-83022,10432,83020,83022,-1,0.0,0.0,0.0
83022-10432-10431,10432,83022,10431,-1,0.0,0.0,0.0
83022-10432-83022,10432,83022,83022,0,0.0,0.0,0.0
82203-10596-10267,10596,82203,10267,0,0.0,0.0,0.0
82203-10596-82204,10596,82203,82204,-1,0.0,0.0,0.0
82204-10596-10267,10596,82204,10267,-1,0.0,0.0,0.0
82204-10596-82204,10596,82204,82204,0,0.0,0.0,0.0
10603-10605-10603,10605,10603,10603,0,0.0,0.0,0.0
10603-10605-82099,10605,10603,82099,0,0.0,0.0,0.0
10606-10605-10603,10605,10606,10603,-1,0.0,0.0,0.0
10606-10605-82099,10605,10606,82099,-1,0.0,0.0,0.0
10668-10669-10670,10669,10668,10670,-1,0.0,0.0,0.0
10668-10669-82075,10669,10668,82075,-1,0.0,0.0,0.0
10668-10669-82080,10669,10668,82080,0,0.0,0.0,0.0
82075-10669-10670,10669,82075,10670,-1,0.0,0.0,0.0
82075-10669-82075,10669,82075,82075,0,0.0,0.0,0.0
82075-10669-82080,10669,82075,82080,-1,0.0,0.0,0.0
82080-10669-10670,10669,82080,10670,-1,0.0,0.0,0.0
82080-10669-82075,10669,82080,82075,-1,0.0,0.0,0.0
82080-10669-82080,10669,82080,82080,0,0.0,0.0,0.0
10718-10720-10718,10720,10718,10718,0,0.0,0.0,0.0
10718-10720-10719,10720,10718,10719,-1,0.0,0.0,0.0
10728-10720-10718,10720,10728,10718,-1,0.0,0.0,0.0
10728-10720-10719,10720,10728,10719,0,0.0,0.0,0.0
10717-10721-10717,10721,10717,10717,0,0.0,0.0,0.0
10717-10721-10725,10721,10717,10725,-1,0.0,0.0,0.0
10724-10721-10717,10721,10724,10717,-1,0.0,0.0,0.0
10724-10721-10725,10721,10724,10725,0,0.0,0.0,0.0
10739-10740-10739,10740,10739,10739,0,0.0,0.0,0.0
10739-10740-10741,10740,10739,10741,-1,0.0,0.0,0.0
10742-10740-10739,10740,10742,10739,-1,0.0,0.0,0.0
10742-10740-10741,10740,10742,10741,0,0.0,0.0,0.0
10746-10751-10745,10751,10746,10745,-1,0.0,0.0,0.0
10746-10751-10746,10751,10746,10746,0,0.0,0.0,0.0
10748-10751-10745,10751,10748,10745,0,0.0,0.0,0.0
10748-10751-10746,10751,10748,10746,-1,0.0,0.0,0.0
10666-10762-10666,10762,10666,10666,0,0.0,0.0,0.0
10666-10762-10770,10762,10666,10770,-1,0.0,0.0,0.0
10666-10762-95002,10762,10666,95002,-1,0.0,0.0,0.0
