ID,JNODE,INODE,KNODE,TPF,DATA1,DATA2,DATA3,VOLAU,VOLAD,TIMAU
10146-10150-10145,10150,10146,10145,0,0.0,0.0,0.0,0.0,0.0,-1.0
10146-10150-10151,10150,10146,10151,-1,0.0,0.0,0.0,48.130493,0.0,0.0
10151-10150-10145,10150,10151,10145,-1,0.0,0.0,0.0,111.07027,0.0,0.0
10151-10150-10151,10150,10151,10151,0,0.0,0.0,0.0,0.0,0.0,-1.0
10483-10170-10480,10170,10483,10480,0,0.0,0.0,0.0,0.0,0.0,-1.0
10483-10170-10510,10170,10483,10510,-1,0.0,0.0,0.0,80.856903,0.0,0.0
10510-10170-10480,10170,10510,10480,-1,0.0,0.0,0.0,104.53385,0.0,0.0
10510-10170-10510,10170,10510,10510,0,0.0,0.0,0.0,0.0,0.0,-1.0
10268-10270-10266,10270,10268,10266,0,0.0,0.0,0.0,0.0,0.0,-1.0
10268-10270-10271,10270,10268,10271,-1,0.0,0.0,0.0,6.256114,0.0,0.0
10271-10270-10266,10270,10271,10266,-1,0.0,0.0,0.0,0.0,0.0,0.0
10271-10270-10271,10270,10271,10271,0,0.0,0.0,0.0,0.0,0.0,-1.0
10289-10291-10289,10291,10289,10289,0,0.0,0.0,0.0,0.0,0.0,-1.0
10289-10291-10292,10291,10289,10292,-1,0.0,0.0,0.0,0.0,0.0,0.0
10289-10291-10293,10291,10289,10293,-1,0.0,0.0,0.0,1.0726857,0.0,0.0
10293-10291-10289,10291,10293,10289,-1,0.0,0.0,0.0,1.8940991,0.0,0.0
10293-10291-10292,10291,10293,10292,0,0.0,0.0,0.0,0.0,0.0,-1.0
10293-10291-10293,10291,10293,10293,0,0.0,0.0,0.0,0.0,0.0,-1.0
10291-10293-10291,10293,10291,10291,0,0.0,0.0,0.0,0.0,0.0,-1.0
10291-10293-10292,10293,10291,10292,0,0.0,0.0,0.0,0.0,0.0,-1.0
10291-10293-10494,10293,10291,10494,-1,0.0,0.0,0.0,1.0726857,0.0,0.0
10494-10293-10291,10293,10494,10291,-1,0.0,0.0,0.0,1.8940991,0.0,0.0
10494-10293-10292,10293,10494,10292,-1,0.0,0.0,0.0,1.8686419,0.0,0.0
10494-10293-10494,10293,10494,10494,0,0.0,0.0,0.0,0.0,0.0,-1.0
10413-10412-10414,10412,10413,10414,0,0.0,0.0,0.0,0.0,0.0,-1.0
10413-10412-82197,10412,10413,82197,-1,0.0,0.0,0.0,0.0,0.0,0.0
82197-10412-10414,10412,82197,10414,-1,0.0,0.0,0.0,234.75308,0.0,0.0
82197-10412-82197,10412,82197,82197,0,0.0,0.0,0.0,0.0,0.0,-1.0
82011-10415-82171,10415,82011,82171,-1,0.0,0.0,0.0,78.425316,0.0,0.0
