IntersectionId,Bound,Direction,X,Y,Link
7578,NB,in,301528.0843,5059117.461,[3970071330005r]
7578,NB,out,301528.0843,5059117.461,[3970071330000r]
7578,SB,in,301528.0843,5059117.461,[3970071330000f]
7578,SB,out,301528.0843,5059117.461,[3970071330005f]
7578,EB,in,301528.0843,5059117.461,3970071330000r
7578,EB,out,301528.0843,5059117.461,[466189710000f]
7578,WB,in,301528.0843,5059117.461,466189710000r
7580,NB,in,301568.4791,5059037.201,[466189710002r]
7580,NB,out,301568.4791,5059037.201,[466189710000r]
7580,SB,in,301568.4791,5059037.201,[466189710000f]
7580,SB,out,301568.4791,5059037.201,[466189710002f]
7580,EB,in,301568.4791,5059037.201,[3388410590010f]
7580,EB,out,301568.4791,5059037.201,466190190006r
7580,WB,in,301568.4791,5059037.201,466190190006f
7580,WB,out,301568.4791,5059037.201,3388410590010r
8603,NB,in,300863.5567,5058969.147,[326563360005f]
8603,SB,out,300863.5567,5058969.147,[326563360005r]
8603,EB,in,300863.5567,5058969.147,[466195950009r]
8603,EB,out,300863.5567,5058969.147,[466195950007r]
6245,NB,in,301016.8242,5058730.004,3621456680007f
6245,NB,out,301016.8242,5058730.004,326563360005f
6245,SB,in,301016.8242,5058730.004,[326563360005r]
6245,SB,out,301016.8242,5058730.004,[3621456680007r]
6245,EB,in,301016.8242,5058730.004,[4537093250010f]
6245,EB,out,301016.8242,5058730.004,[3388410590004f]
6245,WB,in,301016.8242,5058730.004,3388410590004r
6245,WB,out,301016.8242,5058730.004,4537093240001f
1325,NB,in,304829.2967,5058728.635,[259067570000r]
1325,NB,out,304829.2967,5058728.635,[4535281530011r]
1325,SB,in,304829.2967,5058728.635,[4535281530011f]
1325,SB,out,304829.2967,5058728.635,[259067570000f]
1325,EB,in,304829.2967,5058728.635,[4535281520000f]
1325,EB,out,304829.2967,5058728.635,[4579302700000f]
1325,WB,in,304829.2967,5058728.635,4579302710001f
1325,WB,out,304829.2967,5058728.635,4535281510000f
7565,NB,in,300097.2863,5058262.645,[1105632560000r]
7565,SB,out,300097.2863,5058262.645,[1105632560000f]
7565,EB,in,300097.2863,5058262.645,[466195950023r]
7565,EB,out,300097.2863,5058262.645,[466195950022r]
7565,WB,in,300097.2863,5058262.645,466195950022f
7565,WB,out,300097.2863,5058262.645,466195950023f
7567,NB,in,300249.8061,5057976.14,[1105632560004r]
7567,NB,out,300249.8061,5057976.14,1105632560002r
7567,SB,in,300249.8061,5057976.14,1105632560002f
7567,SB,out,300249.8061,5057976.14,[1105632560004f]
7567,EB,in,300249.8061,5057976.14,[4537093250000f]
7567,EB,out,300249.8061,5057976.14,[4537093250002f]
7567,WB,in,300249.8061,5057976.14,4537093240009f
7567,WB,out,300249.8061,5057976.14,4537093240010f
5280,NB,in,299292.5911,5057747.643,[4537073390010f]
5280,SB,out,299292.5911,5057747.643,[4537073390010r]
5280,EB,in,299292.5911,5057747.643,[466803100007f]
5280,EB,out,299292.5911,5057747.643,466803100008f
1312,NB,in,304113.6638,5057616.225,[4535178940000f]
1312,NB,out,304113.6638,5057616.225,[209265740000f]
1312,SB,in,304113.6638,5057616.225,[209289050023f]
1312,SB,out,304113.6638,5057616.225,[209289050024f]
1312,EB,in,304113.6638,5057616.225,[269291580004f]
1312,EB,out,304113.6638,5057616.225,[269291580007f]
1312,WB,in,304113.6638,5057616.225,269291580007r
1312,WB,out,304113.6638,5057616.225,269291580004r
7141,NB,in,299515.5938,5057435.164,[4537073390006f]
7141,NB,out,299515.5938,5057435.164,[4537073390008f]
7141,SB,in,299515.5938,5057435.164,[4537073390008r]
7141,SB,out,299515.5938,5057435.164,[4537073390006r]
7141,EB,in,299515.5938,5057435.164,1148658070030f
7141,EB,out,299515.5938,5057435.164,1148658070031f
7141,WB,in,299515.5938,5057435.164,209411610004f
7141,WB,out,299515.5938,5057435.164,209411610005f
1373,NB,out,302579.2717,5057360.086,[466189310000f]
1373,SB,in,302579.2717,5057360.086,[466189310000r]
