431914040005f,10045___SB___out,10045___EB___out,5979___SB___in
2850893570004f,10397___NB___in,10397___WB___in,
2850893570006f,10397___NB___out,10397___WB___out,
202236800000r,1071___EB___out,1071___SB___out,
2369413780002f,1071___SB___in,1071___EB___in,
4540144930000f,113___WB___out,113___EB___in,
1773489170001f,1157___NB___out,1157___EB___out,
2941889610003f,1165___EB___in,1165___SB___in,
4620644480001f,1165___SB___out,1165___WB___out,
4554524300003f,11714___EB___out,11714___WB___out,
4554524290000f,11714___NB___out,11714___NB___in,
4554524290000r,11714___SB___in,11714___SB___out,
4554524310000f,11714___WB___in,11714___EB___in,
4579302710001f,1325___NB___in,1325___WB___in,
4535281510000f,1325___WB___out,1325___NB___out,
229094070000f,13332___SB___out,13332___EB___in,
4535278180000f,1339___NB___out,1339___WB___out,
481608380014f,13837___SB___out,13837___EB___out,
201879960011f,141___SB___in,141___NB___in,
4532826330002f,1671___SB___out,1671___EB___in,
4363514230000f,19151___SB___out,19151___EB___out,
202216920012f,2284___EB___in,2284___SB___in,
4651530020001f,2667___EB___out,2667___WB___in,
1650966290001f,2963___SB___out,2963___WB___out,
3303011800002f,2973___EB___out,2973___NB___out,
3303011800001f,2973___NB___in,2973___EB___in,
135020510009f,310___NB___out,310___WB___out,
135020510006f,310___WB___in,310___NB___in,
7299311290013f,3693___EB___out,3693___WB___in,
4634722980001f,3910___WB___in,3910___SB___in,2530___WB___out
4520650740003f,566___WB___out,566___SB___out,
272081040005f,577___NB___out,577___WB___out,
3471070650004f,577___SB___out,577___WB___in,
4523852400001f,604___EB___out,608___WB___out,608___SB___out
4638869340003f,608___SB___in,608___WB___in,
466189710000f,7578___SB___out,7580___SB___in,7580___SB___out
4604996750005f,791___WB___in,791___WB___out,
3114208980003f,8483___NB___in,8483___EB___in,
5642754020000f,8891___WB___in,8891___SB___in,
3936969130005r,927___NB___in,927___WB___in,
3936969130004r,927___WB___out,927___NB___out,
1649642380006r,9529___SB___in,9529___SB___out,
